age,income,tenure_months,num_products,has_credit_card,is_active,country,education,churn
53,142244,92,3,1,1,Germany,PhD,0
37,79871,71,2,1,0,Australia,Bachelors,0
26,56208,99,4,1,1,India,Masters,0
41,129769,76,4,0,1,Australia,PhD,0
44,63573,71,4,1,1,USA,Bachelors,0
58,70196,30,4,0,1,Germany,PhD,0
46,149553,85,2,1,0,USA,Masters,0
28,134581,109,4,0,1,India,Bachelors,0
48,134154,84,2,0,1,UK,Masters,0
61,110794,51,1,1,1,UK,PhD,0
56,24705,80,1,0,1,USA,HS,0
49,148232,13,1,1,0,UK,HS,1
24,62516,102,1,1,1,UK,PhD,0
31,52007,68,4,0,0,USA,HS,0
61,134142,49,2,1,0,USA,PhD,0
62,53289,59,3,0,1,UK,Bachelors,0
26,77898,45,3,1,1,Germany,Masters,0
34,70422,110,4,0,0,Germany,Masters,0
58,58780,90,3,0,1,UK,HS,0
58,133386,88,1,1,1,USA,Masters,0
36,103442,25,3,0,0,India,Masters,0
50,24373,75,3,0,0,UK,Masters,1
48,43021,26,2,1,1,USA,Masters,0
52,146796,104,3,1,0,Germany,HS,0
31,118848,29,4,1,0,Germany,HS,0
38,90329,16,4,1,1,Australia,PhD,0
62,143245,48,1,0,1,India,Masters,0
61,49015,83,1,1,1,Germany,HS,0
30,25943,5,3,1,0,India,Bachelors,1
56,37781,50,4,1,1,Australia,Bachelors,0
48,105841,13,4,1,1,India,Masters,0
35,78115,57,2,1,0,UK,Masters,0
25,72184,36,2,0,1,India,Bachelors,0
63,103819,77,1,0,1,USA,Bachelors,0
58,46896,9,2,0,0,UK,Bachelors,1
60,20371,36,2,0,1,USA,HS,0
64,133567,4,2,0,1,USA,Masters,0
23,42838,34,1,0,1,Australia,HS,0
26,82422,58,3,0,1,Australia,Bachelors,0
61,25683,94,3,1,0,India,PhD,1
47,75872,88,1,1,1,India,HS,0
42,99730,19,1,0,1,Australia,Masters,0
46,98301,68,3,1,1,India,HS,0
63,105316,113,2,1,1,USA,PhD,0
43,128451,59,4,1,0,UK,PhD,0
42,107177,33,3,0,1,India,HS,0
27,32219,56,1,1,0,Australia,HS,1
59,145386,72,3,0,1,UK,PhD,0
25,146929,37,3,1,0,Australia,Bachelors,0
31,106079,62,2,0,1,Australia,Masters,0
29,119956,36,2,1,0,Australia,Masters,0
23,43647,35,3,1,1,India,Bachelors,0
31,94228,85,4,0,0,India,HS,0
55,48197,49,4,1,1,USA,Masters,0
41,114581,42,1,0,0,USA,HS,1
65,30693,35,4,1,1,Australia,PhD,0
48,55804,28,1,1,1,India,Masters,0
65,108930,76,4,1,0,USA,PhD,0
60,27180,1,2,1,0,USA,Masters,1
40,63007,16,1,1,1,USA,Bachelors,0
46,89806,91,2,1,0,Germany,HS,0
49,22456,59,1,1,1,Australia,PhD,0
62,74747,38,1,1,0,UK,Bachelors,1
61,80305,107,3,0,1,India,Bachelors,0
49,97184,52,1,1,1,UK,Bachelors,0
43,122120,22,1,0,0,UK,Masters,1
63,126828,19,2,0,0,UK,Bachelors,0
33,98957,20,1,0,1,Germany,PhD,0
65,141130,113,3,1,0,Germany,HS,0
52,77961,81,3,1,0,UK,HS,0
41,80521,58,1,0,1,UK,HS,0
63,133278,110,1,1,1,Australia,HS,0
50,139150,104,2,1,1,Australia,Bachelors,0
25,79050,14,3,0,0,India,Bachelors,0
50,149890,57,2,1,1,UK,PhD,0
48,121510,44,1,1,0,UK,HS,1
57,108916,50,3,1,0,UK,HS,0
59,106980,19,3,1,1,USA,HS,0
41,93259,49,3,0,0,Germany,Masters,0
23,67526,40,2,0,1,Germany,Bachelors,0
36,38030,20,1,1,0,Australia,HS,1
